micro_cluster_id	main_field_seq	main_field_id	weight	is_primary_main_field
325	1	3	0.5	True
325	2	4	0.5	False
326	1	5	1	True
327	1	2	0.5	True
327	2	1	0.5	False
328	1	1	0.5	True
328	2	5	0.5	False
329	1	2	1	True
330	1	4	1	True
331	1	5	1	True
332	1	4	1	True
333	1	4	1	True
334	1	2	1	True
335	1	2	1	True
336	1	2	1	True
337	1	2	1	True
338	1	3	0.5	True
338	2	5	0.5	False
339	1	5	1	True
340	1	2	1	True
341	1	4	1	True
342	1	2	1	True
343	1	3	1	True
344	1	1	1	True
345	1	2	1	True
346	1	3	1	True
347	1	4	1	True
348	1	1	1	True
349	1	1	1	True
350	1	2	0.3333333333333333	True
350	2	5	0.3333333333333333	False
350	3	1	0.3333333333333333	False
351	1	2	1	True
352	1	2	1	True
353	1	3	1	True
354	1	3	1	True
355	1	1	0.5	True
355	2	2	0.5	False
356	1	2	1	True
357	1	1	0.5	True
357	2	5	0.5	False
358	1	2	0.5	True
358	2	3	0.5	False
359	1	2	1	True
360	1	3	1	True
361	1	3	0.5	True
361	2	5	0.5	False
362	1	1	1	True
363	1	5	1	True
364	1	2	1	True
365	1	2	1	True
366	1	1	1	True
367	1	1	0.5	True
367	2	4	0.5	False
368	1	2	1	True
369	1	3	0.5	True
369	2	5	0.5	False
370	1	3	0.5	True
370	2	5	0.5	False
371	1	2	1	True
372	1	2	1	True
373	1	2	1	True
374	1	5	1	True
375	1	2	1	True
376	1	2	0.5	True
376	2	1	0.5	False
377	1	3	1	True
378	1	2	0.3333333333333333	True
378	2	3	0.3333333333333333	False
378	3	5	0.3333333333333333	False
379	1	2	1	True
380	1	1	0.5	True
380	2	2	0.5	False
381	1	2	1	True
382	1	3	1	True
383	1	1	1	True
384	1	3	1	True
385	1	4	1	True
386	1	3	1	True
387	1	2	0.5	True
387	2	4	0.5	False
388	1	5	1	True
389	1	3	1	True
390	1	2	1	True
391	1	1	0.5	True
391	2	2	0.5	False
392	1	2	1	True
393	1	1	1	True
394	1	2	1	True
395	1	1	0.5	True
395	2	5	0.5	False
396	1	3	1	True
397	1	2	1	True
398	1	4	1	True
399	1	4	0.5	True
399	2	3	0.5	False
400	1	5	1	True
