meso_cluster_id	meso_cluster_no	parent_macro_cluster_id	n_works
521	02.055	2	50359
522	01.084	1	52419
523	01.085	1	49541
524	05.041	5	53200
525	06.029	6	55616
526	10.022	10	61978
527	06.030	6	57342
528	01.086	1	49328
529	11.020	11	53082
530	01.087	1	47210
531	03.054	3	48801
532	02.056	2	50372
533	12.017	12	49592
534	13.018	13	46174
535	03.055	3	51662
536	13.019	13	48264
537	13.020	13	49181
538	06.031	6	56443
539	02.057	2	46057
540	12.018	12	49567
541	03.056	3	50070
542	07.035	7	49212
543	01.088	1	47928
544	01.089	1	46958
545	06.032	6	52303
546	04.042	4	52321
547	11.021	11	51147
548	20.006	20	49021
549	11.022	11	52384
550	10.023	10	54984
551	05.042	5	54809
552	12.019	12	47637
553	16.010	16	48759
554	02.058	2	48645
555	01.090	1	46473
556	05.043	5	50183
557	05.044	5	51929
558	02.059	2	46103
559	14.017	14	46800
560	18.006	18	49555
561	01.091	1	46673
562	01.092	1	44485
563	07.036	7	51534
564	01.093	1	44024
565	03.057	3	43044
566	02.060	2	47213
567	06.033	6	52585
568	01.094	1	44673
569	04.043	4	47060
570	09.021	9	45900
571	06.034	6	44894
572	01.095	1	42242
573	06.035	6	54946
574	03.058	3	44710
575	06.036	6	46375
576	01.096	1	43832
577	03.059	3	42063
578	12.020	12	45159
579	06.037	6	45206
580	08.029	8	51077
581	04.044	4	49031
582	04.045	4	42941
583	14.018	14	42063
584	16.011	16	43854
585	20.007	20	41319
586	08.030	8	48433
587	01.097	1	40408
588	05.045	5	49235
589	08.031	8	47817
590	08.032	8	52037
591	07.037	7	42470
592	13.021	13	39035
593	06.038	6	47524
594	09.022	9	40285
595	07.038	7	44678
596	01.098	1	38387
597	15.019	15	40860
598	09.023	9	39735
599	07.039	7	42380
600	08.033	8	46237
601	09.024	9	41078
602	07.040	7	40912
603	05.046	5	39297
604	05.047	5	45974
605	19.005	19	45937
606	01.099	1	36780
607	05.048	5	42240
608	06.039	6	43294
609	08.034	8	44434
610	08.035	8	46284
611	04.046	4	40676
612	03.060	3	36237
613	10.024	10	46853
614	01.100	1	35728
615	01.101	1	37308
616	03.061	3	41276
617	01.102	1	36394
618	06.040	6	39299
619	08.036	8	41349
620	01.103	1	38083
621	10.025	10	40710
622	12.021	12	36058
623	09.025	9	38596
624	19.006	19	43562
625	04.047	4	39656
626	13.022	13	31971
627	01.104	1	34362
628	14.019	14	35785
629	16.012	16	37898
630	11.023	11	36206
631	02.061	2	35000
632	08.037	8	40735
633	06.041	6	47633
634	05.049	5	36608
635	15.020	15	36406
636	18.007	18	36731
637	01.105	1	32771
638	02.062	2	33532
639	05.050	5	36178
640	06.042	6	38351
641	01.106	1	33324
642	07.041	7	37260
643	10.026	10	39282
644	16.013	16	35895
645	04.048	4	36502
646	08.038	8	39777
647	15.021	15	33612
648	08.039	8	39010
649	03.062	3	36170
650	03.063	3	35452
651	07.042	7	38997
652	01.107	1	32601
653	01.108	1	32225
654	07.043	7	35932
655	12.022	12	34092
656	02.063	2	34800
657	04.049	4	32835
658	04.050	4	37617
659	06.043	6	38759
660	05.051	5	37269
661	06.044	6	36262
662	10.027	10	36644
663	04.051	4	33148
664	10.028	10	34880
665	03.064	3	34782
666	18.008	18	34520
667	05.052	5	32189
668	02.064	2	32256
669	01.109	1	30954
670	08.040	8	37782
671	10.029	10	35483
672	10.030	10	37560
673	04.052	4	33136
674	02.065	2	31523
675	06.045	6	34294
676	08.041	8	38407
677	14.020	14	29962
678	11.024	11	33444
679	05.053	5	31533
680	18.009	18	33095
681	03.065	3	30313
682	03.066	3	31351
683	03.067	3	31113
684	04.053	4	30328
685	02.066	2	28380
686	04.054	4	30979
687	11.025	11	29969
688	08.042	8	33151
689	01.110	1	28094
690	10.031	10	32721
691	15.022	15	27085
692	15.023	15	29318
693	19.007	19	32821
694	02.067	2	28020
695	08.043	8	34523
696	19.008	19	31311
697	13.023	13	28021
698	01.111	1	26647
699	10.032	10	45173
700	10.033	10	49792
701	08.044	8	32038
702	08.045	8	35597
703	06.046	6	31447
704	16.014	16	28835
705	03.068	3	28944
706	18.010	18	27826
707	04.055	4	30106
708	01.112	1	26601
709	08.046	8	30215
710	05.054	5	28880
711	10.034	10	31533
712	12.023	12	27146
713	02.068	2	25685
714	03.069	3	25823
715	01.113	1	23930
716	07.044	7	27934
717	07.045	7	27109
718	19.009	19	26895
719	06.047	6	28883
720	01.114	1	24714
721	10.035	10	52245
722	05.055	5	28547
723	02.069	2	24233
724	10.036	10	28835
725	19.010	19	29669
726	08.047	8	27142
727	06.048	6	23023
728	06.049	6	26936
729	10.037	10	44932
730	13.024	13	22803
731	01.115	1	22342
732	01.116	1	21674
733	06.050	6	26454
734	02.070	2	22786
