meso_cluster_id	source_seq	source_id	n_works
36	1	4306525036	6999
36	2	144105592	6265
36	3	4306463937	4803
36	4	113871862	4087
36	5	84074229	3114
36	6	171176648	2802
36	7	117485531	2636
36	8	168041952	2506
36	9	87202501	2372
36	10	17992710	2148
37	1	140251998	8875
37	2	4306402567	5458
37	3	4306525036	4106
37	4	202381698	3359
37	5	4306463937	3162
37	6	125754415	2889
37	7	5677253	2769
37	8	151589183	2763
37	9	188085164	2428
37	10	96410829	2332
38	1	156006901	4700
38	2	45281609	3482
38	3	4306525036	3332
38	4	4306463937	2850
38	5	142952003	2406
38	6	202381698	2357
38	7	4306402567	2207
38	8	181675524	2148
38	9	110924429	2135
38	10	38337076	1874
39	1	106296714	6303
39	2	4306400194	3705
39	3	4306463937	3168
39	4	49967189	2165
39	5	4210206007	2071
39	6	101949793	1799
39	7	2485537415	1783
39	8	2764900261	1687
39	9	2764905038	1678
39	10	4210179954	1467
40	1	135458494	9411
40	2	4306463937	3984
40	3	4210196743	2703
40	4	4306402567	2425
40	5	2493613807	2423
40	6	29946585	2171
40	7	2484704948	2156
40	8	188770946	2121
40	9	63107127	2085
40	10	85201822	2085
41	1	4306525036	7682
41	2	47215897	6283
41	3	124275759	4758
41	4	53087977	2934
41	5	5248501	2676
41	6	202381698	2573
41	7	2736332253	2561
41	8	129764719	2218
41	9	72350973	2068
41	10	4306463937	2006
42	1	106296714	9106
42	2	4306400194	4608
42	3	4306463937	3420
42	4	63392143	2343
42	5	115004586	1819
42	6	158797327	1462
42	7	62238642	1450
42	8	183492911	1372
42	9	2485537415	1305
42	10	2493627025	1256
43	1	4306402567	5895
43	2	22454499	4403
43	3	202381698	3307
43	4	96685181	3018
43	5	4306463937	2732
43	6	65932378	2517
43	7	87560609	2379
43	8	4210173499	2266
43	9	176933442	2226
43	10	149191589	1742
44	1	4210198353	11287
44	2	162708223	11196
44	3	207178839	6476
44	4	86852077	4289
44	5	36624081	3429
44	6	13479253	3347
44	7	4210205282	3200
44	8	4306463937	2977
44	9	70769875	2849
44	10	946213959	2738
45	1	200764475	14434
45	2	186054908	8071
45	3	177196338	5135
45	4	10124807	4426
45	5	123288148	3813
45	6	4306463230	3386
45	7	135472351	3084
45	8	114499311	2985
45	9	67425620	2573
45	10	4306463937	2359
46	1	62391475	4961
46	2	86852077	3573
46	3	4306463937	3250
46	4	11781297	3195
46	5	201473135	3120
46	6	59755854	2552
46	7	1666925	2528
46	8	185297315	2449
46	9	159568494	2408
46	10	148244296	2217
47	1	106296714	13074
47	2	4306400194	5545
47	3	4306463937	4441
47	4	2764900261	2217
47	5	37879656	1948
47	6	205010575	1872
47	7	6725529	1735
47	8	8351582	1453
47	9	186921487	1397
47	10	4210177767	1367
48	1	25155249	6222
48	2	108427512	6206
48	3	4306525036	4294
48	4	4306463937	3283
48	5	284573	2933
48	6	77085303	2324
48	7	79704628	2012
48	8	202381698	2012
48	9	4306402450	1886
48	10	175287009	1740
49	1	4306525036	6381
49	2	20605092	5834
49	3	202381698	5611
49	4	96615428	5506
49	5	157460402	5491
49	6	161282271	3656
49	7	6142729	3490
49	8	103377564	3247
49	9	66330005	2383
49	10	4306463937	2121
50	1	106296714	4639
50	2	4306463937	4243
50	3	4306463409	3917
50	4	4306463855	2470
50	5	4210172589	1551
50	6	4306401280	1425
50	7	4210172634	1415
50	8	4210179225	1385
50	9	104917558	1341
50	10	4306508766	1255
51	1	28349394	11263
51	2	72684844	7048
51	3	4210168508	3638
51	4	54426137	3131
51	5	14620535	2755
51	6	127169255	2682
51	7	43044067	2590
51	8	171407314	2501
51	9	66388299	2393
51	10	153189382	2298
52	1	162372621	3381
52	2	4210200322	3329
52	3	4210238371	3302
52	4	36624081	3212
52	5	4306463937	3162
52	6	207705515	3112
52	7	207178839	3101
52	8	172051550	2315
52	9	2596539584	2199
52	10	86852077	2187
53	1	4306525036	8561
53	2	108525051	5690
53	3	76900504	3225
53	4	71995303	2984
53	5	143944388	2922
53	6	105319247	2621
53	7	4210207896	2534
53	8	68090385	2515
53	9	93356601	2408
53	10	153558830	2316
54	1	159210951	6167
54	2	81424476	5022
54	3	68052730	3751
54	4	4306463937	3228
54	5	56162041	2683
54	6	119230507	2611
54	7	4306463230	2422
54	8	85417211	2337
54	9	7538555	2253
54	10	16821847	1996
55	1	4306525036	5665
55	2	110785341	3663
55	3	115427279	3395
55	4	200437886	3026
55	5	15239247	2955
55	6	126804734	2604
55	7	4306463937	2175
55	8	202381698	2078
55	9	14544163	2047
55	10	206696595	1907
56	1	76304953	11717
56	2	4306525036	8317
56	3	107025856	7268
56	4	145806103	5251
56	5	4306463937	4039
56	6	50016660	3717
56	7	207341048	3495
56	8	174695746	3314
56	9	79587146	3243
56	10	69264623	2798
57	1	4306525036	6038
57	2	143832381	5445
57	3	46732370	5338
57	4	163651451	5241
57	5	128634829	5236
57	6	4306463937	3527
57	7	116251202	3073
57	8	60865174	2971
57	9	14436165	2552
57	10	75756335	2494
58	1	105243760	7030
58	2	187991544	5867
58	3	162355128	5223
58	4	143744711	5117
58	5	2530005873	3525
58	6	84339699	3497
58	7	19887683	3475
58	8	77418581	2541
58	9	4210205149	2387
58	10	4210171700	2304
59	1	4306462995	10712
59	2	2764375719	7723
59	3	4306463716	5836
59	4	4306463855	5414
59	5	4306463937	4778
59	6	4306463708	3898
59	7	4306463717	3564
59	8	4306463122	1772
59	9	4306462964	1749
59	10	4210172589	1270
60	1	29980478	16558
60	2	186020892	4709
60	3	18714766	4098
60	4	123887920	3444
60	5	4210189194	3433
60	6	67425620	3324
60	7	4306463075	2878
60	8	111427844	2639
60	9	4210178770	2490
60	10	2764478331	2488
61	1	4306525036	6079
61	2	42921845	4754
61	3	183718435	4527
61	4	4306463937	3769
61	5	4306463230	3503
61	6	48878068	2533
61	7	169018744	2336
61	8	123151105	2234
61	9	75142505	2134
61	10	202381698	1856
62	1	106296714	12331
62	2	4306400194	5329
62	3	4306463937	3985
62	4	148324379	1643
62	5	4306402512	1537
62	6	157670870	1263
62	7	97130795	1229
62	8	32326811	1107
62	9	4210193905	1079
62	10	4306418181	1066
63	1	4210172589	41556
63	2	4306401271	5062
63	3	4306463937	2436
63	4	152282257	1620
63	5	2798341630	1580
63	6	160506855	1286
63	7	4306401280	1216
63	8	4306463855	1106
63	9	65924262	1091
63	10	48254654	943
64	1	9351502	4009
64	2	20111203	3999
64	3	171471881	3531
64	4	57183551	3438
64	5	200038611	3182
64	6	4210238371	3018
64	7	178886870	2858
64	8	28438197	2382
64	9	4306463937	2247
64	10	207943242	2229
65	1	96743589	4553
65	2	171471881	3730
65	3	4306463937	2899
65	4	155333626	2833
65	5	202381698	2643
65	6	2596539584	2630
65	7	101229256	2586
65	8	118082147	2562
65	9	104261359	2394
65	10	130807758	2388
66	1	106296714	14955
66	2	183492911	5136
66	3	4306400194	4982
66	4	4306463937	3000
66	5	110206669	1643
66	6	4210173141	1406
66	7	414566	1368
66	8	2764905038	1234
66	9	151820558	1144
66	10	4306402512	1083
67	1	4306400194	30374
67	2	187585107	23620
67	3	4210210554	13637
67	4	4210238307	10523
67	5	173952182	7507
67	6	171172751	7287
67	7	120662888	6501
67	8	94052278	4728
67	9	4210194812	4599
67	10	68175919	3333
68	1	203465130	7905
68	2	13479253	5846
68	3	86852077	5162
68	4	136710263	4724
68	5	201530359	4083
68	6	87561820	3612
68	7	13733787	3097
68	8	101229256	2679
68	9	4306463937	2669
68	10	145089992	2213
69	1	45445671	9658
69	2	4306525036	6478
69	3	127900037	4425
69	4	43044067	4252
69	5	130598054	3508
69	6	4306463937	3456
69	7	87865284	3205
69	8	206719219	2635
69	9	189402472	2546
69	10	199941106	2413
70	1	4306400194	57427
70	2	40813394	3850
70	3	184147796	2943
70	4	4306463937	2559
70	5	4210226894	2004
70	6	111381568	1972
70	7	141074886	1828
70	8	125230230	1799
70	9	53865935	1664
70	10	106296714	1639
71	1	4306402567	9613
71	2	134668137	4893
71	3	140251998	3467
71	4	4306525036	3255
71	5	202381698	3042
71	6	81455967	2258
71	7	125754415	2219
71	8	4210172139	2140
71	9	156208185	1970
71	10	64187185	1966
72	1	106296714	6068
72	2	169411308	3677
72	3	179157397	3420
72	4	4306400194	3038
72	5	4306463937	2995
72	6	192650101	2648
72	7	65753830	2292
72	8	2764905038	2005
72	9	4210229206	1708
